MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
3602733,2015,Kasubick #4,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Kasubick Brothers Coal Co.,"501 David Street, Houtzdale, PA 16651",,Appalachia Northern,6259,2,3060,8.74177570692
3605493,2015,Reese No 1 & 2 Strip,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Philip Reese Coal Company Inc,"P.O. Box 14, Karthaus, PA 16845",,Appalachia Northern,1800,2,1844,7.49554194388
3605513,2015,Speedway No 1 Strip Mine,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Sky Haven Coal Inc,"5510 State Park Road, Penfield, PA 15849",,Appalachia Northern,7125,5,4140,8.87136500514
3606586,2015,Waroquier #1,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,"Waroquier Coal, Inc.","P.O. Box 128, Clearfield, PA 16830",,Appalachia Northern,50808,19,31970,10.8358091015
3607550,2015,Swisher Contracting Inc.,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Swisher Contracting Inc,"P.O. Box 1223, Clearfield, PA 16830",,Appalachia Northern,42259,13,19717,10.6515726279
3607561,2015,Baumgardner Operation,Pennsylvania (Bituminous),Clearfield,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Larry D Baumgardner Coal Compa,"P.O. Box 186, Lanse, PA 16849",,Appalachia Northern,24139,4,9948,10.0915840688
3607670,2015,King #1,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,King Coal Sales Inc,"P.O. Box 712, Philipsburg, PA 16866",,Appalachia Northern,28491,10,20113,10.2573435269
3608071,2015,Enercorp Inc,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Enercorp Inc,"1310 Allport Cutoff, Morrisdale, PA 16858",,Appalachia Northern,4027,2,2227,8.30077696085
3608163,2015,Hoover Job,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Junior Coal Contracting Inncor,"2330 Six Mile Road, Philipsburg, PA 16866",,Appalachia Northern,53051,20,40462,10.879008994
3608248,2015,Shawver Operation,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Hilltop Coal Company,"12 Duchtown Rd, Houtzdale, PA 16651",,Appalachia Northern,47882,13,24125,10.7764949299
3608422,2015,Clearfield Co Strips,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Rosebud Mining Company,"One Energy Place, Latrobe, PA 15650",,Appalachia Northern,2959,2,765,7.9926066524
3608504,2015,Pioneer #1,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Warren C Hartman Contractor,"5315 Bigler Road, Clearfield, PA 16830",,Appalachia Northern,7212,2,2198,8.88350158432
3608705,2015,Laurel Ridge #1,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Ramm Coal Inc.,"1092 Spruce Hill Road, Rockton, PA 15856",,Appalachia Northern,285,1,236,5.65248918027
3608750,2015,"Bell Resources, Inc",Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,Bell Resources Inc.,"1340 Hoyt Road, Curwensville, PA 16833",,Appalachia Northern,45924,12,29947,10.7347431352
3609187,2015,Auger No 3132,Pennsylvania (Bituminous),Clearfield,Active,Surface,Independent Producer Operator,Mine only,E E & S Auger Mining Inc,"687 Ambrose Road, Home, PA 15747",,Appalachia Northern,12089,3,2643,9.4000512272
